id,timestamp,marketId,tag,selectionId,selectionName,impliedProb,bestBid,bestAsk,spread,bidVolume,askVolume,totalBidVolume,totalAskVolume
240,2026-04-19T17:28:10.089800,43453,SP008-KM095,86368,Até 133,0.27,0.0,0.67,0.0,0.0,6.07,0.0,435.07
239,2026-04-19T17:28:09.921552,43453,SP008-KM095,86367,Mais de 133,0.73,0.33,0.0,0.0,6.07,0.0,435.07,0.0
238,2026-04-19T17:27:11.170757,43453,SP008-KM095,86368,Até 133,0.5,0.33,0.59,0.25999999999999995,6.07,3.34,435.07,232.34
237,2026-04-19T17:27:10.998091,43453,SP008-KM095,86367,Mais de 133,0.5,0.41,0.67,0.26000000000000006,3.34,6.07,232.34,435.07
